module	Number	Super.class	Class	Sub.class	Sub.class	Summary
royalblue2	10	Organoheterocyclic compounds	Miscellaneous	Purines and purine derivatives	Miscellaneous	Organoheterocyclic compounds
lightgoldenrod1	5	Organoheterocyclic compounds	Pyridines and derivatives	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
cornsilk2	8	Organoheterocyclic compounds	Quinolines and derivatives	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
olivedrab2	5	Alkaloids and derivatives	Benzophenanthridine alkaloids	Secobenzophenanthridine alkaloids	Secobenzophenanthridine alkaloids	Alkaloids
khaki	5	Phenylpropanoids and polyketides	Miscellaneous	Sesquiterpenoids	Miscellaneous	Polyketides
chocolate	7	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	Steroid lactones	Lipids and lipid-like molecules
goldenrod4	7	Lipids and lipid-like molecules	Steroids and steroid derivatives	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
deepskyblue3	5	Lipids and lipid-like molecules	Steroids and steroid derivatives	Terpene glycosides	Terpene glycosides	Lipids and lipid-like molecules
mediumorchid3	9	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Terpene glycosides	Lipids and lipid-like molecules
orangered2	6	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Terpene lactones	Lipids and lipid-like molecules
seashell1	5	Organic acids and derivatives	Benzopyrans	Tetracarboxylic acids and derivatives	Tetracarboxylic acids and derivatives	Miscellaneous
green2	10	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triradylcglycerols	Lipids and lipid-like molecules
