Metabolites	Module	Class
HMDB0006598	skyblue3	Lipids and lipid-like molecules
HMDB0006700	cyan	Lipids and lipid-like molecules
HMDB0010331	goldenrod4	Lipids and lipid-like molecules
HMDB0012214	mediumaquamarine	Lipids and lipid-like molecules
HMDB0029771	cyan	Lipids and lipid-like molecules
HMDB0029772	darkorange	Lipids and lipid-like molecules
HMDB0029773	lightsteelblue1	Lipids and lipid-like molecules
HMDB0029782	lightblue1	Lipids and lipid-like molecules
HMDB0030422	skyblue	Lipids and lipid-like molecules
HMDB0030697	paleturquoise4	Lipids and lipid-like molecules
HMDB0031690	chartreuse3	Lipids and lipid-like molecules
HMDB0031694	mistyrose	Lipids and lipid-like molecules
HMDB0031763	lightyellow4	Lipids and lipid-like molecules
HMDB0031876	whitesmoke	Lipids and lipid-like molecules
HMDB0031936	dodgerblue1	Lipids and lipid-like molecules
HMDB0031956	red4	Lipids and lipid-like molecules
HMDB0034771	cyan3	Lipids and lipid-like molecules
HMDB0034873	navajowhite2	Lipids and lipid-like molecules
HMDB0036214	steelblue	Lipids and lipid-like molecules
HMDB0036340	antiquewhite3	Lipids and lipid-like molecules
HMDB0036822	paleturquoise	Lipids and lipid-like molecules
HMDB0039952	brown2	Lipids and lipid-like molecules
HMDB0040668	dodgerblue1	Lipids and lipid-like molecules
HMDB0040672	darkorange	Lipids and lipid-like molecules
HMDB0041415	steelblue	Lipids and lipid-like molecules
HMDB0041579	dodgerblue1	Lipids and lipid-like molecules
HMDB0126537	whitesmoke	Lipids and lipid-like molecules
HMDB0128687	lightyellow	Lipids and lipid-like molecules
HMDB0130042	mediumorchid1	Lipids and lipid-like molecules
HMDB0132957	whitesmoke	Lipids and lipid-like molecules
HMDB0132967	steelblue	Lipids and lipid-like molecules
HMDB0133007	navajowhite4	Lipids and lipid-like molecules
HMDB0133023	deeppink1	Lipids and lipid-like molecules
C16376	whitesmoke	Lipids and lipid-like molecules
HMDB0002057	skyblue	Lipids and lipid-like molecules
HMDB0003946	whitesmoke	Lipids and lipid-like molecules
HMDB0006519	whitesmoke	Lipids and lipid-like molecules
HMDB0006526	dodgerblue1	Lipids and lipid-like molecules
HMDB0006529	rosybrown1	Lipids and lipid-like molecules
HMDB0006805	chocolate2	Lipids and lipid-like molecules
HMDB0006897	lightyellow	Lipids and lipid-like molecules
HMDB0012474	whitesmoke	Lipids and lipid-like molecules
HMDB0012606	lightblue	Lipids and lipid-like molecules
HMDB0013028	darkorchid3	Lipids and lipid-like molecules
HMDB0062213	darkorchid3	Lipids and lipid-like molecules
HMDB0062371	antiquewhite3	Lipids and lipid-like molecules
HMDB0112241	darkorange2	Lipids and lipid-like molecules
HMDB0112251	whitesmoke	Lipids and lipid-like molecules
HMDB0035500	greenyellow	Lipids and lipid-like molecules
HMDB0040568	mediumpurple1	Lipids and lipid-like molecules
HMDB0013813	whitesmoke	Lipids and lipid-like molecules
HMDB0029792	indianred1	Lipids and lipid-like molecules
HMDB0031228	whitesmoke	Lipids and lipid-like molecules
HMDB0031275	orange3	Lipids and lipid-like molecules
HMDB0034563	antiquewhite3	Lipids and lipid-like molecules
HMDB0035389	whitesmoke	Lipids and lipid-like molecules
HMDB0036342	whitesmoke	Lipids and lipid-like molecules
HMDB0036975	grey60	Lipids and lipid-like molecules
HMDB0038963	slateblue3	Lipids and lipid-like molecules
HMDB0039403	brown3	Lipids and lipid-like molecules
HMDB0040373	mistyrose	Lipids and lipid-like molecules
HMDB0040921	greenyellow	Lipids and lipid-like molecules
C19670	deeppink1	Lipids and lipid-like molecules
HMDB0007007	dodgerblue1	Lipids and lipid-like molecules
HMDB0041177	lightcyan1	Lipids and lipid-like molecules
HMDB0041203	lavenderblush3	Lipids and lipid-like molecules
HMDB0043823	mediumorchid4	Lipids and lipid-like molecules
HMDB0092960	whitesmoke	Lipids and lipid-like molecules
HMDB0094060	indianred1	Lipids and lipid-like molecules
HMDB0029331	brown2	Lipids and lipid-like molecules
HMDB0041093	green4	Lipids and lipid-like molecules
HMDB0041094	dodgerblue1	Lipids and lipid-like molecules
HMDB0041511	whitesmoke	Lipids and lipid-like molecules
HMDB0011582	grey60	Lipids and lipid-like molecules
HMDB0011585	dodgerblue1	Lipids and lipid-like molecules
HMDB0031639	lightskyblue3	Lipids and lipid-like molecules
C13870	thistle4	Lipids and lipid-like molecules
HMDB0032857	whitesmoke	Lipids and lipid-like molecules
HMDB0043424	honeydew	Lipids and lipid-like molecules
HMDB0043489	whitesmoke	Lipids and lipid-like molecules
HMDB0043803	whitesmoke	Lipids and lipid-like molecules
HMDB0047718	blue4	Lipids and lipid-like molecules
HMDB0047720	lightskyblue3	Lipids and lipid-like molecules
HMDB0047722	thistle4	Lipids and lipid-like molecules
HMDB0050299	whitesmoke	Lipids and lipid-like molecules
HMDB0050337	floralwhite	Lipids and lipid-like molecules
HMDB0051424	green4	Lipids and lipid-like molecules
HMDB0051909	darkmagenta	Lipids and lipid-like molecules
HMDB0052156	chocolate4	Lipids and lipid-like molecules
HMDB0052349	darkolivegreen	Lipids and lipid-like molecules
HMDB0052844	darkseagreen1	Lipids and lipid-like molecules
HMDB0054702	green2	Lipids and lipid-like molecules
HMDB0055189	mediumpurple4	Lipids and lipid-like molecules
HMDB0055640	mediumpurple4	Lipids and lipid-like molecules
HMDB0055716	green2	Lipids and lipid-like molecules
HMDB0110669	deeppink2	Lipids and lipid-like molecules
HMDB0110818	whitesmoke	Lipids and lipid-like molecules
HMDB0006972	dodgerblue1	Lipids and lipid-like molecules
HMDB0115965	burlywood4	Lipids and lipid-like molecules
HMDB0115988	lightcoral	Lipids and lipid-like molecules
HMDB0116019	oldlace	Lipids and lipid-like molecules
HMDB0116027	purple	Lipids and lipid-like molecules
HMDB0116036	orangered1	Lipids and lipid-like molecules
HMDB0116038	magenta2	Lipids and lipid-like molecules
HMDB0116041	oldlace	Lipids and lipid-like molecules
HMDB0116043	mistyrose2	Lipids and lipid-like molecules
HMDB0116166	navajowhite2	Lipids and lipid-like molecules
HMDB0116169	darkseagreen4	Lipids and lipid-like molecules
HMDB0116174	lightcoral	Lipids and lipid-like molecules
HMDB0116190	darkred	Lipids and lipid-like molecules
HMDB0116192	magenta2	Lipids and lipid-like molecules
HMDB0116198	aquamarine1	Lipids and lipid-like molecules
HMDB0116200	magenta2	Lipids and lipid-like molecules
HMDB0116205	green4	Lipids and lipid-like molecules
HMDB0116211	green	Lipids and lipid-like molecules
HMDB0116213	honeydew	Lipids and lipid-like molecules
HMDB0116231	whitesmoke	Lipids and lipid-like molecules
HMDB0116247	floralwhite	Lipids and lipid-like molecules
HMDB0116249	green4	Lipids and lipid-like molecules
HMDB0116260	tomato2	Lipids and lipid-like molecules
HMDB0116265	lavenderblush3	Lipids and lipid-like molecules
HMDB0116277	lavenderblush1	Lipids and lipid-like molecules
HMDB0116287	firebrick4	Lipids and lipid-like molecules
HMDB0116295	lightcyan1	Lipids and lipid-like molecules
HMDB0116312	honeydew1	Lipids and lipid-like molecules
HMDB0116363	orangered	Lipids and lipid-like molecules
HMDB0116365	whitesmoke	Lipids and lipid-like molecules
HMDB0116366	blue4	Lipids and lipid-like molecules
HMDB0114754	dodgerblue1	Lipids and lipid-like molecules
HMDB0115126	whitesmoke	Lipids and lipid-like molecules
HMDB0115211	dodgerblue1	Lipids and lipid-like molecules
HMDB0115426	lightslateblue	Lipids and lipid-like molecules
HMDB0115427	lightslateblue	Lipids and lipid-like molecules
